pamac-aur 10.5.0-1
pambase 20221020-1
pango 1:1.50.14-1
pangomm 2.46.3-1
parted 3.5-1
paru 1.11.1-1.3
pasystray 0.8.1-1
patch 2.7.6-9
pavucontrol 1:5.0+r61+gee77d86-2
pcaudiolib 1.2-2
pciutils 3.9.0-2
pcre 8.45-3
pcre2 10.42-2
pcsclite 1.9.9-3
peek 1.5.1-3
perl 5.36.0-3
perl-alien-build 2.78-1
perl-alien-libxml2 0.19-1
perl-capture-tiny 0.48-6
perl-clone 0.46-1
perl-dbi 1.643-4
perl-encode-locale 1.05-10
perl-error 0.17029-4
perl-ffi-checklib 0.31-2
perl-file-basedir 0.09-2
perl-file-chdir 0.1011-4
perl-file-desktopentry 0.22-10
perl-file-listing 6.15-2
perl-file-mimeinfo 0.33-1
perl-file-which 1.27-2
perl-html-parser 3.81-1
perl-html-tagset 3.20-13
perl-http-cookies 6.10-3
perl-http-daemon 6.16-1
perl-http-date 6.05-6
perl-http-message 6.44-1
perl-http-negotiate 6.01-11
perl-io-html 1.004-3
perl-ipc-run3 0.048-10
perl-ipc-system-simple 1.30-4
perl-libwww 6.67-1
perl-lwp-mediatypes 6.04-3
perl-mailtools 2.21-6
perl-net-http 6.22-2
perl-parse-yapp 1.21-5
perl-path-tiny 0.144-1
perl-timedate 2.33-4
perl-try-tiny 0.31-2
perl-uri 5.17-1
perl-www-robotrules 6.02-11
perl-xml-libxml 2.0208-1
perl-xml-namespacesupport 1.12-5
perl-xml-parser 2.46-4
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-5
perl-xml-writer 0.900-1
picom 10.2-1
pinentry 1.2.1-1
pipewire 1:0.3.67-1
pipewire-alsa 1:0.3.67-1
pipewire-audio 1:0.3.67-1
pipewire-jack 1:0.3.67-1
pipewire-pulse 1:0.3.67-1
pipewire-support 1-16
pipewire-v4l2 1:0.3.67-1
pipewire-x11-bell 1:0.3.67-1
pipewire-zeroconf 1:0.3.67-1
pixman 0.42.2-1
pkcs11-helper 1.29.0-2
pkgconf 1.8.0-1
pkgfile 21-2
playerctl 2.4.1-3
plymouth-git 22.02.122.r163.g7302b49d-1
plymouth-theme-garuda r8.b9b7fd8-1
polkit 122-1
polkit-gnome 0.105-10
polkit-qt5 0.114.0-1
polybar 3.6.3-3
poppler 23.03.0-1
poppler-data 0.4.12-1
poppler-glib 23.03.0-1
poppler-qt5 23.03.0-1
popt 1.19-1
portaudio 1:19.7.0-1
powerline-common 2.8.3-1
powerline-fonts 2.8.3-1
powertop 2.15-1
ppp 2.4.9-3
pptpclient 1.10.0-3
pragha 1.3.4-4
printer-support 1-6
procps-ng 3.3.17-1
profile-sync-daemon 1:6.48-1
protobuf 21.12-1
protobuf-c 1.4.1-1
psmisc 23.6-1
psutils 2.09-1
python 3.10.10-1
python-appdirs 1.4.4-7
python-attrs 22.2.0-1
python-autocommand 2.2.2-1
python-automat 22.10.0-1
python-cairo 1.23.0-3
python-cffi 1.15.1-1
python-chardet 5.1.0-1
python-click 8.1.3-1
python-constantly 15.1.0-11
python-cryptography 39.0.2-1
python-cssselect 1.2.0-1
python-distro 1.8.0-2
python-fastjsonschema 2.16.3-1
python-geoip 1.3.2-13
python-gobject 3.42.2-1
python-hyperlink 21.0.0-4
python-i3ipc 2.2.1-3
python-idna 3.4-1
python-ifaddr 0.2.0-1
python-incremental 22.10.0-1
python-inflect 6.0.2-1
python-jaraco.context 4.3.0-1
